"","H00908.CSI","H00909.CSI","H00910.CSI","H00911.CSI","H00912.CSI","H00913.CSI","H00914.CSI","H00915.CSI","H00916.CSI","H00917.CSI"
"2008-03-28",4446.489,4603.225,3678.71,3926.047,5829.8,3973.253,5812.415,2187.178,3408.153,2713.144
"2008-03-31",4315.391,4407.377,3550.739,3756.728,5739.33,3838.016,5673.641,2113.693,3285.806,2594.049
"2008-04-01",4218.421,4075.788,3336.172,3480.629,5377.283,3538.749,5465.698,1972.812,3009.545,2410.851
"2008-04-02",4196.268,3979.705,3258.569,3362.584,5217.994,3368.099,5570.358,1898.396,2912.514,2367.746
"2008-04-03",4328.847,4176.995,3348.664,3472.491,5288.993,3478.881,5668.113,1919.779,3000.839,2465.11
"2008-04-07",4516.703,4436.861,3562.345,3689.978,5631.003,3723.046,5900.758,2026.498,3187.136,2599.62
"2008-04-08",4554.229,4469.257,3630.22,3760.35,5773.74,3796.225,5945.354,2024.113,3220.989,2639.5
"2008-04-09",4347.466,4303.805,3423.37,3586.641,5492.407,3621.38,5581.712,1900.885,3106.462,2462.856
"2008-04-10",4474.226,4397.524,3488.73,3644.5,5563.712,3688.736,5663.683,1918.486,3115.217,2506.832
"2008-04-11",4498.557,4407.957,3522.052,3699.352,5567.026,3772.327,5718.048,1943.562,3181.637,2506.475
"2008-04-14",4309.66,4119.306,3297.883,3473.943,5278.709,3608.504,5259.166,1793.406,3024.989,2368.668
"2008-04-15",4388.98,4191.772,3367.17,3557.102,5377.59,3701.928,5248.575,1848.951,3078.433,2419.642
"2008-04-16",4448.435,4051.391,3254.107,3464.597,5376.545,3705.004,5095.807,1778.596,3087.4,2282.216
"2008-04-17",4304.819,3921.491,3148.165,3315.82,5308.032,3607.551,4978.907,1719.802,3043.665,2129.569
"2008-04-18",4137.791,3760.818,2997.324,3209.29,5217.706,3485.794,4885.755,1649.338,2926.871,2005.032
"2008-04-21",4174.286,3700.353,2994.155,3202.869,5226.336,3451.327,4896.033,1599.503,2965.117,2018.731
"2008-04-22",4202.821,3671.841,3011.816,3170.12,5129.432,3408.535,5056.735,1588.233,2978.86,2033.832
"2008-04-23",4421.466,3852.218,3142.6,3334.642,5387.243,3551.908,5301.751,1656.756,3135.458,2103.83
"2008-04-24",4836.725,4201.704,3426.308,3636.912,5881.149,3870.859,5814.579,1803.474,3440.59,2289.81
"2008-04-25",4775.179,4268.523,3469.85,3665.205,5752.752,3889.592,5907.193,1834.869,3342.304,2292.789
"2008-04-28",4666.047,4169.033,3409.871,3613.771,5751.917,3811.061,5787.683,1800.558,3208.419,2250.622
"2008-04-29",4758.643,4199.396,3445.349,3658.533,5715.121,3830.65,5867.391,1828.092,3214.473,2357.191
"2008-04-30",4922.386,4378.719,3602.2,3831.665,5953.765,3961.994,6205.265,1892.323,3425.426,2484.058
"2008-05-05",5019.82,4534.338,3748.516,3945.916,6064.598,4162.305,6271.391,1957.513,3494.771,2544.944
"2008-05-06",5046.427,4485.097,3665.97,3908.491,5974.682,4113.782,6170.981,1944.39,3527.764,2571.595
"2008-05-07",4927.511,4258.728,3493.898,3743.959,5740.204,3933.743,5792.118,1834.572,3477.645,2497.517
"2008-05-08",5222.03,4377.997,3576.343,3854.384,5879.715,4069.034,5876.96,1910.018,3771.848,2516.769
